Year,2000,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016
Region/Subregion or Country of Birth,Estimate,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error
"China (inc. mainland China, Hong Kong, and Taiwan)"," 1,518,652 ",,  ,,  ,,  ,,  ,,  ,,  ," 2,292,233 "," +/-33,336 "," 2,383,831 "," +/-32,123 ","2,519,964","  +/-30,659 ","2,676,697","+/-35,859","2,716,548","+/-38,622"
China (exc. Hong Kong and Taiwan)," 988,857 "," 1,334,079 "," +/-23,131 "," 1,363,645 "," +/-26,576 "," 1,360,545 "," +/-24,742 "," 1,432,115 "," +/-27,168 "," 1,608,095 "," +/-29,258 "," 1,650,411 "," +/-27,872 "," 1,710,424 "," +/-30,071 "," 1,804,965 "," +/-27,416 ","1,929,535","  +/-29,231 ","2,065,431","+/-33,869","2,130,352","+/-32,276"
Hong Kong," 203,580 "," 217,237 "," +/-9,612 "," 206,887 "," +/-9,637 "," 210,454 "," +/-10,638 "," 210,273 "," +/-8,799 "," 199,971 "," +/-9,635 "," 215,814 "," +/-8,482 "," 219,231 "," +/-8,393 "," 213,034 "," +/-8,947 ","225,834","  +/-8,887 ","233,373","+/-7,808","212,253","+/-7,327"
Taiwan," 326,215 "," 355,025 "," +/-13,367 "," 359,670 "," +/-13,997 "," 342,444 "," +/-13,109 "," 347,993 "," +/-12,352 "," 358,460 "," +/-12,358 "," 364,934 "," +/-12,933 "," 362,578 "," +/-13,379 "," 365,832 "," +/-12,928 ","364,595","  +/-11,690 ","377,893","+/-12,637","373,943","+/-12,123"
Japan," 347,539 "," 353,576 "," +/-13,582 "," 352,933 "," +/-11,315 "," 333,860 "," +/-10,475 "," 331,090 "," +/-12,241 "," 319,256 "," +/-11,466 "," 318,225 "," +/-11,604 "," 329,499 "," +/-11,114 "," 339,970 "," +/-11,407 ","336,027","  +/-11,215 ","335,767","+/-11,198","355,156","+/-11,346"
Korea," 864,125 "," 1,023,956 "," +/-23,944 "," 1,042,580 "," +/-25,744 "," 1,030,691 "," +/-19,374 "," 1,004,329 "," +/-20,386 "," 1,100,422 "," +/-24,049 "," 1,082,613 "," +/-23,457 "," 1,084,662 "," +/-22,634 "," 1,070,335 "," +/-21,536 ","1,079,784","  +/-22,023 ","1,060,019","+/-20,054","1,041,727","+/-22,876"
Other Eastern Asia," 9,194 "," 16,753 "," +/-3,649 "," 13,585 "," +/-2,746 "," 16,266 "," +/-2,959 "," 8,341 "," +/-2,394 "," 13,727 "," +/-3,164 "," 8,244 "," +/-2,516 "," 12,756 "," +/-3,070 "," 9,348 "," +/-2,158 ","14,923","  +/-3,167 ","13,389","+/-3,024","17,228","+/-3,907"
South Central Asia," 1,745,201 "," 2,430,646 "," +/-42,524 "," 2,470,619 "," +/-36,621 "," 2,611,962 "," +/-35,310 "," 2,713,675 "," +/-37,874 "," 2,863,344 "," +/-32,986 "," 3,009,592 "," +/-35,383 "," 3,183,392 "," +/-40,851 "," 3,285,550 "," +/-38,827 ","3,531,127","  +/-46,283 ","3,797,442","+/-44,695","3,889,485","+/-52,479"
Afghanistan," 45,195 "," 51,935 "," +/-6,236 "," 61,623 "," +/-7,182 "," 60,718 "," +/-8,683 "," 64,768 "," +/-6,783 "," 54,458 "," +/-7,691 "," 65,560 "," +/-7,877 "," 65,633 "," +/-6,108 "," 67,169 "," +/-8,705 ","73,386","  +/-7,801 ","70,653","+/-6,928","94,726","+/-8,748"
Bangladesh," 95,294 "," 135,088 "," +/-11,835 "," 143,619 "," +/-11,435 "," 145,479 "," +/-9,889 "," 151,091 "," +/-11,143 "," 153,691 "," +/-10,391 "," 184,469 "," +/-13,418 "," 187,992 "," +/-11,657 "," 203,179 "," +/-11,946 ","210,190","  +/-12,656 ","228,682","+/-14,479","234,640","+/-12,222"
